"Designator","Mid X","Mid Y","Layer","Rotation"
"Q7","104.14mm","-110.49mm","top","270.0"
"Q3","117.348mm","-110.49mm","top","270.0"
"R18","88.392mm","-97.028mm","top","270.0"
"R17","87.122mm","-97.028mm","top","270.0"
"R15","80.01mm","-97.028mm","top","270.0"
"R14","78.74mm","-97.028mm","top","270.0"
"R4","92.202mm","-86.106mm","top","180.0"
"Q6","98.552mm","-110.49mm","top","270.0"
"Q2","111.76mm","-110.49mm","top","270.0"
"J3","89.535mm","-120.739mm","top","0.0"
"D1","103.632mm","-92.71mm","top","90.0"
"J1","79.502mm","-82.804mm","top","90.0"
"SW1","114.935mm","-86.576mm","top","0.0"
"C3","91.186mm","-87.122mm","top","0.0"
"D2","83.312mm","-99.06mm","top","180.0"
"R3","97.282mm","-87.884mm","top","0.0"
"R5","99.314mm","-87.884mm","top","180.0"
"C9","102.997mm","-85.814mm","top","0.0"
"C7","102.997mm","-83.274mm","top","0.0"
"C8","102.997mm","-84.544mm","top","0.0"
"U1","85.379mm","-88.854mm","top","270.0"
"C5","95.758mm","-91.684mm","top","270.0"
"R2","90.678mm","-91.91mm","top","180.0"
"R1","90.678mm","-90.894mm","top","180.0"
"R13","80.01mm","-94.958mm","top","90.0"
"D4","93.726mm","-95.72mm","top","270.0"
"D3","85.344mm","-95.72mm","top","270.0"
"R16","88.392mm","-94.958mm","top","90.0"
"Q10","90.932mm","-95.72mm","top","180.0"
"Q9","82.55mm","-95.72mm","top","180.0"
"R6","105.029mm","-83.274mm","top","180.0"
"R8","105.029mm","-84.544mm","top","180.0"
"R7","105.029mm","-85.814mm","top","0.0"
"U2","99.695mm","-92.888mm","top","0.0"
"J2","81.788mm","-107.188mm","top","270.0"
"J4","107.95mm","-120.739mm","top","0.0"
"C12","110.264mm","-94.704mm","top","180.0"
"C10","120.678mm","-94.704mm","top","180.0"
"R12","117.856mm","-95.466mm","top","180.0"
"R11","117.856mm","-97.244mm","top","0.0"
"Q8","114.681mm","-97.244mm","top","180.0"
"Q5","121.031mm","-97.244mm","top","180.0"
"C13","117.856mm","-98.514mm","top","180.0"
"Q1","110.617mm","-97.244mm","top","180.0"
"R10","107.442mm","-95.466mm","top","180.0"
"R9","107.442mm","-97.244mm","top","0.0"
"Q4","104.267mm","-97.244mm","top","180.0"
"C11","107.442mm","-98.514mm","top","180.0"
"C4","95.758mm","-94.196mm","top","90.0"
"C2","80.318mm","-91.38mm","top","0.0"
"C6","80.318mm","-87.88mm","top","180.0"
"C1","80.318mm","-90.33mm","top","180.0"
