"Designator","Mid X","Mid Y","Layer","Rotation"
"J3","123.19mm","-123.825mm","top","270.0"
"J1","104.521mm","-127mm","top","90.0"
"J5","95.25mm","-140.335mm","top","0.0"
"J4","92.964mm","-116.84mm","top","270.0"
"J2","111.76mm","-140.335mm","top","0.0"
"R3","125.7675mm","-128.905mm","top","0.0"
"C5","125.7975mm","-130.175mm","top","180.0"
"Q7","93.98mm","-132.715mm","top","90.0"
"Q6","99.06mm","-132.715mm","top","90.0"
"Q5","104.14mm","-132.715mm","top","90.0"
"C4","125.095mm","-115.57mm","top","0.0"
"R1","121.285mm","-119.38mm","top","180.0"
"R2","126.365mm","-126.365mm","top","90.0"
"Q4","109.22mm","-132.715mm","top","90.0"
"Q1","124.46mm","-132.715mm","top","90.0"
"Q2","119.38mm","-132.715mm","top","90.0"
"Q3","114.3mm","-132.715mm","top","90.0"
"U2","125.095mm","-118.11mm","top","90.0"
"C3","122.555mm","-116.205mm","top","270.0"
"U1","113.03mm","-118.745mm","top","270.0"
"D2","118.11mm","-118.11mm","top","90.0"
"D1","113.665mm","-123.825mm","top","180.0"
"C2","114.935mm","-114.935mm","top","180.0"
"C1","111.76mm","-114.935mm","top","0.0"
